codigo_departamento,codigo_municipio,departamento,municipio_segeplan,municipio_mineduc
01,0101,Guatemala,Guatemala,Guatemala
01,0102,Guatemala,Santa Catarina Pinula,Santa Catarina Pinula
01,0103,Guatemala,San José Pinula,San José Pinula
01,0104,Guatemala,San José del Golfo,San José del Golfo
01,0105,Guatemala,Palencia,Palencia
01,0106,Guatemala,Chinautla,Chinautla
01,0107,Guatemala,San Pedro Ayampuc,San Pedro Ayampuc
01,0108,Guatemala,Mixco,Mixco
01,0109,Guatemala,San Pedro Sacatepéquez,San Pedro Sacatepéquez
01,0110,Guatemala,San Juan Sacatepéquez,San Juan Sacatepéquez
01,0111,Guatemala,San Raymundo,San Raymundo
01,0112,Guatemala,Chuarrancho,Chuarrancho
01,0113,Guatemala,Fraijanes,Fraijanes
01,0114,Guatemala,Amatitlán,Amatitlán
01,0115,Guatemala,Villa Nueva,Villa Nueva
01,0116,Guatemala,Villa Canales,Villa Canales
01,0117,Guatemala,Petapa,San Miguel Petapa
02,0201,El Progreso,Guastatoya,Guastatoya
02,0202,El Progreso,Morazán,Morazán
02,0203,El Progreso,San Agustín Acasaguastlán,San Agustín Acasaguastlán
02,0204,El Progreso,San Cristóbal Acasaguastlán,San Cristóbal Acasaguastlán
02,0205,El Progreso,El Jícaro,El Jícaro
02,0206,El Progreso,Sansare,Sansare
02,0207,El Progreso,Sanarate,Sanarate
02,0208,El Progreso,San Antonio la Paz,San Antonio la Paz
03,0301,Sacatepéquez,Antigua Guatemala,Antigua Guatemala
03,0302,Sacatepéquez,Jocotenango,Jocotenango
03,0303,Sacatepéquez,Pastores,Pastores
03,0304,Sacatepéquez,Sumpango,Sumpango
03,0305,Sacatepéquez,Santo Domingo Xenacoj,Santo Domingo Xenacoj
03,0306,Sacatepéquez,Santiago Sacatepéquez,Santiago Sacatepéquez
03,0307,Sacatepéquez,San Bartolomé Milpas Altas,San Bartolomé Milpas Altas
03,0308,Sacatepéquez,San Lucas Sacatepéquez,San Lucas Sacatepéquez
03,0309,Sacatepéquez,Santa Lucía Milpas Altas,Santa Lucía Milpas Altas
03,0310,Sacatepéquez,Magdalena Milpas Altas,Magdalena Milpas Altas
03,0311,Sacatepéquez,Santa María de Jesus,Santa María de Jesus
03,0312,Sacatepéquez,Ciudad Vieja,Ciudad Vieja
03,0313,Sacatepéquez,San Miguel Dueñas,San Miguel Dueñas
03,0314,Sacatepéquez,Alotenango,Alotenango
03,0315,Sacatepéquez,San Antonio Aguas Calientes,San Antonio Aguas Calientes
03,0316,Sacatepéquez,Santa Catarina Barahona,Santa Catarina Barahona
04,0401,Chimaltenango,Chimaltenango,Chimaltenango
04,0402,Chimaltenango,San José Poaquil,San José Poaquil
04,0403,Chimaltenango,San Martín Jilotepeque,San Martín Jilotepeque
04,0404,Chimaltenango,San Juan Comalapa,San Juan Comalapa
04,0405,Chimaltenango,Santa Apolonia,Santa Apolonia
04,0406,Chimaltenango,Tecpán Guatemala,Tecpán Guatemala
04,0407,Chimaltenango,Patzún,Patzún
04,0408,Chimaltenango,Pochuta,San Miguel Pochuta
04,0409,Chimaltenango,Patzicía,Patzicía
04,0410,Chimaltenango,Santa Cruz Balanyá,Santa Cruz Balanyá
04,0411,Chimaltenango,Acatenango,Acatenango
04,0412,Chimaltenango,San Pedro Yepocapa,San Pedro Yepocapa
04,0413,Chimaltenango,San Andrés Itzapa,San Andrés Itzapa
04,0414,Chimaltenango,Parramos,Parramos
04,0415,Chimaltenango,Zaragoza,Zaragoza
04,0416,Chimaltenango,El Tejar,El Tejar
05,0501,Escuintla,Escuintla,Escuintla
05,0502,Escuintla,Santa Lucía Cotzumalguapa,Santa Lucía Cotzumalguapa
05,0503,Escuintla,La Democracia,La Democracia
05,0504,Escuintla,Siquinalá,Siquinalá
05,0505,Escuintla,Masagua,Masagua
05,0506,Escuintla,Pueblo Nuevo Tiquisate,Tiquisate
05,0507,Escuintla,La Gomera,La Gomera
05,0508,Escuintla,Guanagazapa,Guanagazapa
05,0509,Escuintla,San José,San José
05,0510,Escuintla,Iztapa,Iztapa
05,0511,Escuintla,Palín,Palín
05,0512,Escuintla,San Vicente Pacaya,San Vicente Pacaya
05,0513,Escuintla,Nueva Concepción,Nueva Concepción
05,0514,Escuintla,Sipacate,Sipacate
06,0601,Santa Rosa,Cuilapa,Cuilapa
06,0602,Santa Rosa,Barberena,Barberena
06,0603,Santa Rosa,Santa Rosa de Lima,Santa Rosa de Lima
06,0604,Santa Rosa,Casillas,Casillas
06,0605,Santa Rosa,San Rafael las Flores,San Rafael las Flores
06,0606,Santa Rosa,Oratorio,Oratorio
06,0607,Santa Rosa,San Juan Tecuaco,San Juan Tecuaco
06,0608,Santa Rosa,Chiquimulilla,Chiquimulilla
06,0609,Santa Rosa,Taxisco,Taxisco
06,0610,Santa Rosa,Santa María Ixhuatán,Santa María Ixhuatán
06,0611,Santa Rosa,Guazacapán,Guazacapán
06,0612,Santa Rosa,Santa Cruz Naranjo,Santa Cruz Naranjo
06,0613,Santa Rosa,Pueblo Nuevo Viñas,Pueblo Nuevo Viñas
06,0614,Santa Rosa,Nueva Santa Rosa,Nueva Santa Rosa
07,0701,Sololá,Sololá,Sololá
07,0702,Sololá,San José Chacaya,San José Chacaya
07,0703,Sololá,Santa María Visitación,Santa María Visitación
07,0704,Sololá,Santa Lucía Utatlán,Santa Lucía Utatlán
07,0705,Sololá,Nahualá,Nahualá
07,0706,Sololá,Santa Catarina Ixtahuacán,Santa Catarina Ixtahuacán
07,0707,Sololá,Santa Clara la Laguna,Santa Clara la Laguna
07,0708,Sololá,Concepción,Concepción
07,0709,Sololá,San Andrés Semetabaj,San Andrés Semetabaj
07,0710,Sololá,Panajachel,Panajachel
07,0711,Sololá,Santa Catarina Palopó,Santa Catarina Palopó
07,0712,Sololá,San Antonio Palopó,San Antonio Palopó
07,0713,Sololá,San Lucas Tolimán,San Lucas Tolimán
07,0714,Sololá,Santa Cruz la Laguna,Santa Cruz la Laguna
07,0715,Sololá,San Pablo la Laguna,San Pablo la Laguna
07,0716,Sololá,San Marcos la Laguna,San Marcos la Laguna
07,0717,Sololá,San Juan la Laguna,San Juan la Laguna
07,0718,Sololá,San Pedro la Laguna,San Pedro la Laguna
07,0719,Sololá,Santiago Atitlan,Santiago Atitlan
