ESTABLECIMIENTO_GRUPO_DUPLICADO,CODIGO,ESTABLECIMIENTO_ORIGINAL,MUNICIPIO,DIRECCION_ORIGINAL,JORNADA,PLAN,archivo_origen,fila_origen
11,03-01-0158-46,"CENTRO ACADEMICO  ""NUESTRA EXCELENCIA"" CANE",Antigua Guatemala,CALLE DE BELEN NO. 18,DOBLE,FIN DE SEMANA,SACATEPEQUEZ.csv,42
11,03-01-0164-46,"CENTRO ACADEMICO ""NUESTRA EXCELENCIA"" (CANE)",Antigua Guatemala,CALLE DE BELEN NO. 18,DOBLE,FIN DE SEMANA,SACATEPEQUEZ.csv,44
17,01-08-0709-46,CENTRO DE EDUCACIÓN A DISTANCIA  ESCOLARIS,Mixco,"KM. 19.5   CARRETERA  ROOSEVELT  7-55,  LO  DE COY  ZONA 1",DOBLE,A DISTANCIA,GUATEMALA.csv,456
17,01-08-0707-46,CENTRO  DE  EDUCACIÓN  A DISTANCIA  ESCOLARIS,Mixco,"KM. 19.5   CARRETERA  ROOSEVELT  7-55,  LO  DE COY  ZONA 1",DOBLE,A DISTANCIA,GUATEMALA.csv,455
92,19-01-0086-46,"CENTRO EDUCATIVO JUVENIL CATÓLICO ""NUESTRA SEÑORA DE FÁTIMA""",Zacapa,12 CALLE A 14-03 ZONA 1,MATUTINA,DIARIO(REGULAR),ZACAPA.csv,10
92,19-01-1012-46,"CENTRO EDUCATIVO JUVENIL CATÓLICO  ""NUESTRA SEÑORA DE FÁTIMA""",Zacapa,12 CALLE A 14-03 ZONA 1,MATUTINA,DIARIO(REGULAR),ZACAPA.csv,61
163,18-05-0146-46,"COLEGIO CATOLICO MIXTO ""NUEVO SAN JOSÉ""",Los Amates,BARRIO EL CEMENTERIO,VESPERTINA,DIARIO(REGULAR),IZABAL.csv,399
163,18-05-0147-46,"COLEGIO CATÓLICO MIXTO ""NUEVO SAN JOSÉ""",Los Amates,BARRIO EL CEMENTERIO,VESPERTINA,DIARIO(REGULAR),IZABAL.csv,400
190,13-01-7090-46,COLEGIO CRISTIANO  TABERNACULO DE LA FE,Huehuetenango,SECTOR IV CAMBOTE ZONA 11,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO.csv,171
190,13-01-7130-46,COLEGIO CRISTIANO 'TABERNACULO DE LA FE',Huehuetenango,SECTOR IV CAMBOTE ZONA 11,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO.csv,175
193,05-09-0460-46,COLEGIO DE CIENCIAS COMERCIALES  SAN JOSE,San José,AVENIDA DEL COMERCIO 1-27 ZONA 1,VESPERTINA,DIARIO(REGULAR),ESCUINTLA.csv,563
193,05-09-0049-46,"COLEGIO DE CIENCIAS COMERCIALES ""SAN JOSE""",San José,AVENIDA DEL COMERCIO 1-27 ZONA 1,VESPERTINA,DIARIO(REGULAR),ESCUINTLA.csv,529
271,01-10-0153-46,COLEGIO INTEGRAL TECNOLÓGICO CIENTÍFICO CITEC,San Juan Sacatepéquez,LOTE 11 MANZANA H SECTOR 3-B COLONIA EL EDEN,DOBLE,FIN DE SEMANA,GUATEMALA.csv,885
271,01-10-0154-46,COLEGIO INTEGRAL TECNOLOGICO CIENTIFICO CITEC,San Juan Sacatepéquez,LOTE 11 MANZANA H SECTOR 3-B COLONIA EL EDEN,DOBLE,FIN DE SEMANA,GUATEMALA.csv,886
281,03-01-0102-46,COLEGIO LICEO ANTIGUEÑO,Antigua Guatemala,3A. CALLE ORIENTE NO.11,DOBLE,DIARIO(REGULAR),SACATEPEQUEZ.csv,20
281,03-01-0134-46,COLEGIO LICEO ANTIGÜEÑO,Antigua Guatemala,3A. CALLE ORIENTE NO.11,DOBLE,DIARIO(REGULAR),SACATEPEQUEZ.csv,29
366,00-12-2917-46,COLEGIO MIXTO Y ACADEMIA  HALDA,Guatemala,7A. AVENIDA 18-66 ZONA 12,MATUTINA,DIARIO(REGULAR),CIUDADCAPITAL.csv,1698
366,00-12-4659-46,COLEGIO MIXTO Y ACADEMIA 'HALDA',Guatemala,7A. AVENIDA 18-66 ZONA 12,MATUTINA,DIARIO(REGULAR),CIUDADCAPITAL.csv,1706
468,02-03-0054-46,COLEGIO PRIVADO MIXTO DE EDUCACION BASICA SAN AGUSTIN ACASAGUASTLAN -COMEBSA-,San Agustín Acasaguastlán,BARRIO GUAYTAN,DOBLE,FIN DE SEMANA,ELPROGRESO.csv,47
468,02-03-0731-46,COLEGIO PRIVADO MIXTO DE EDUCACION BASICA SAN AGUSTIN ACASAGUASTLAN COMEBSA,San Agustín Acasaguastlán,BARRIO GUAYTAN,DOBLE,FIN DE SEMANA,ELPROGRESO.csv,83
506,10-01-1953-46,COLEGIO PRIVADO MIXTO 'PANAMERICANO',Mazatenango,"3A. AVENIDA Y 1A. CALLE FINAL ZONA 3, LOTIFICACION RAMIREZ",MATUTINA,DIARIO(REGULAR),SUCHITEPEQUEZ.csv,165
506,10-01-1955-46,COLEGIO PRIVADO MIXTO  PANAMERICANO,Mazatenango,"3A. AVENIDA Y 1A. CALLE FINAL ZONA 3, LOTIFICACION RAMIREZ",MATUTINA,DIARIO(REGULAR),SUCHITEPEQUEZ.csv,166
540,00-01-0280-46,COLEGIO TECNICO COMERCIAL NAHUALA,Guatemala,3A. AVENIDA 13-23,MATUTINA,DIARIO(REGULAR),CIUDADCAPITAL.csv,101
540,00-01-9057-46,COLEGIO TECNICO COMERCIAL  NAHUALA,Guatemala,3A. AVENIDA 13-23,MATUTINA,DIARIO(REGULAR),CIUDADCAPITAL.csv,774
706,10-01-0387-46,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA Y DIVERSIFICADO NUEVO AMANECER CON VISIÓN,Mazatenango,"5TA. AVENIDA FINAL, AVENIDA DOLORES, ZONA 1",VESPERTINA,DIARIO(REGULAR),SUCHITEPEQUEZ.csv,125
706,10-01-0245-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO NUEVO AMANECER CON VISION,Mazatenango,"5TA. AVENIDA FINAL, AVENIDA DOLORES, ZONA 1",VESPERTINA,DIARIO(REGULAR),SUCHITEPEQUEZ.csv,62
708,00-06-0033-46,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""CARLOS BENJAMIN PAIZ AYALA """,Guatemala,"FINAL, CALZADA JOSE MILLA Y VIDAURRE Y 26 AVENIDA",NOCTURNA,DIARIO(REGULAR),CIUDADCAPITAL.csv,1112
708,00-06-0032-46,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""CARLOS BENJAMIN PAIZ AYALA""",Guatemala,"FINAL, CALZADA JOSE MILLA Y VIDAURRE Y 26 AVENIDA",NOCTURNA,DIARIO(REGULAR),CIUDADCAPITAL.csv,1111
740,16-17-0123-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,Raxruhá,BARRIO SANTA MARÍA,MATUTINA,DIARIO(REGULAR),ALTAVERAPAZ.csv,471
740,16-17-0151-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,Raxruhá,BARRIO SANTA MARÍA,MATUTINA,DIARIO(REGULAR),ALTAVERAPAZ.csv,476
784,17-01-0130-46,INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO.,Flores,SANTA ELENA,DOBLE,FIN DE SEMANA,PETEN.csv,27
784,17-01-1119-46,INSTITUTO PARTICULAR MIXTO  CIENCIA Y DESARROLLO,Flores,SANTA ELENA,DOBLE,FIN DE SEMANA,PETEN.csv,52
803,17-10-0252-46,"INSTITUTO PARTICULAR MIXTO, PLAN FIN DE SEMANA,  LICENCIADO VALENTIN DEL VALLE GONGORA""",Sayaxché,ALDEA RANCHO ALEGRE,DOBLE,FIN DE SEMANA,PETEN.csv,371
803,17-10-0015-46,INSTITUTO PARTICULAR MIXTO PLAN FIN DE SEMANA LICENCIADO VALENTIN DEL VALLE GONGORA,Sayaxché,ALDEA RANCHO ALEGRE,DOBLE,FIN DE SEMANA,PETEN.csv,352
812,04-07-2540-46,"INSTITUTO PREVOCACIONAL MIXTO  ""SAN BERNARDINO""",Patzún,4A. AVENIDA 4-40 ZONA 2,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO.csv,325
812,04-07-3183-46,INSTITUTO PREVOCACIONAL MIXTO 'SAN BERNARDINO',Patzún,4A. AVENIDA 4-40 ZONA 2,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO.csv,327
868,00-01-0217-46,INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION DIVERSIFICADA 'BILINGUE GUATEMALTECO',Guatemala,6A AVE. 2-34,MATUTINA,DIARIO(REGULAR),CIUDADCAPITAL.csv,47
868,00-01-0230-46,INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION DIVERSIFICADA BILINGUE GUATEMALTECO,Guatemala,6A AVE. 2-34,MATUTINA,DIARIO(REGULAR),CIUDADCAPITAL.csv,59
904,14-15-4573-46,INSTITUTO TECNICO MAYA EN RECURSOS NATURALES,San Miguel Uspantán,BARRIO EL BORDITO,DOBLE,DIARIO(REGULAR),QUICHE.csv,208
904,14-15-0234-46,INSTITUTO TÉCNICO MAYA EN RECURSOS NATURALES,San Miguel Uspantán,BARRIO EL BORDITO,DOBLE,DIARIO(REGULAR),QUICHE.csv,194
1060,18-05-0094-46,LICEO PRIVADO MIXTO TINAMITH MANUEL COLOM ARGUETA,Los Amates,ALDEA QUIRIGUA,MATUTINA,DIARIO(REGULAR),IZABAL.csv,376
1060,18-05-0106-46,"LICEO PRIVADO MIXTO TINAMITH ""MANUEL COLOM ARGUETA",Los Amates,ALDEA QUIRIGUA,MATUTINA,DIARIO(REGULAR),IZABAL.csv,380
