par_id,codigo_1,codigo_2,municipio,establecimiento_1,establecimiento_2,similitud_nombre,direccion,jornada,plan,decision,justificacion
1,13-27-0068-46,13-27-7032-46,Aguacatán,"COLEGIO PRIVADO ""EL NUEVO MILLENIUM""",COLEGIO PRIVADO EL NUEVO MILLENIUM,100.0,"3A. AVENIDA 3-01, ZONA 1",VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
2,13-27-0066-46,13-27-0085-46,Aguacatán,INSTITUTO MAYANCE AGUACATECO,INSTITUTO MAYANCE AGUACATECO,100.0,4TA CALLE 3-35 ZONA 3,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
3,01-14-0213-46,01-14-0220-46,Amatitlán,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SAN JUAN BAUTISTA,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SAN JUAN BAUTISTA,100.0,1RA Y 2DA CALLE LOTE 33 A COLONIA SAN JUAN BAUTISTA II,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
4,01-14-0016-46,01-14-0018-46,Amatitlán,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI,96.15,"2A. AVENIDA, 12-44 CANTON SAN ANTONIO",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
5,01-14-0141-46,01-14-8051-46,Amatitlán,"LICEO MIXTO CRISTIANO ""JIREH""",LICEO MIXTO CRISTIANO 'JIREH',100.0,"3A. AVENIDA 2-45, COLONIA VILLA ALBORADA",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
6,01-14-0135-46,01-14-0136-46,Amatitlán,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,100.0,4 AVENIDA 10-57,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
7,01-14-0050-46,01-14-0052-46,Amatitlán,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,100.0,"4A. AVENIDA 10-57, CANTON EL ROSARIO",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
8,01-14-0058-46,01-14-0189-46,Amatitlán,COLEGIO MIXTO CULTURA,COLEGIO MIXTO CULTURA,100.0,4A. AVENIDA 5-34,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
9,01-14-0225-46,01-14-0226-46,Amatitlán,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,5A. AVENIDA FINAL BARRIO EL INGENIO,NOCTURNA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
10,01-14-0082-46,01-14-0083-46,Amatitlán,LICEO MIXTO AMATITLANECO,LICEO MIXTO AMATITLANECO,100.0,"5A. CALLE, 3-73, BARRIO LA CRUZ",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
