variable,antes_cantidad,despues_cantidad,antes_porcentaje,despues_porcentaje
CODIGO,23,23,0.1934,0.1934
DISTRITO,555,555,4.6678,4.6678
DEPARTAMENTO,23,23,0.1934,0.1934
MUNICIPIO,23,23,0.1934,0.1934
ESTABLECIMIENTO,28,28,0.2355,0.2355
DIRECCION,99,271,0.8326,2.2792
TELEFONO,969,993,8.1497,8.3516
SUPERVISOR,558,561,4.693,4.7183
DIRECTOR,1755,2174,14.7603,18.2843
NIVEL,23,23,0.1934,0.1934
SECTOR,23,23,0.1934,0.1934
AREA,23,26,0.1934,0.2187
STATUS,23,23,0.1934,0.1934
MODALIDAD,23,23,0.1934,0.1934
JORNADA,23,23,0.1934,0.1934
PLAN,23,23,0.1934,0.1934
DEPARTAMENTAL,23,23,0.1934,0.1934
